pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,also_in_entry
alpha_0339,Volume 2,12,,Fool,Fool,F,,,<a href='/digital-beehive/alpha1/alpha_0107/'>buffoon</a>|804 [PAGE_MISSING; dotage]|<a href='/digital-beehive/toc/toc2_225/'>1159 [Folly]</a>,,<a href='/digital-beehive/index2/index_1517/'>fool & folly</a>,#item-7fc3b2c36,,Entry: Fool|Topic: Fool|Xref: buffoon|Xref: 804 [PAGE_MISSING; dotage]|Xref: 1159 [Folly]|Index: fool & folly|#item-7fc3b2c36,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/704,2203,3067,994/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563204978855,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/704,2203,600,180/250,/0/default.jpg",Fool,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>,,
alpha_0340,Volume 2,12,,Foot,Foot,F,,,<a href='/digital-beehive/toc/toc2_282/'>1444 [Foot]</a>,,<a href='/digital-beehive/index2/index_1520/'>foot</a>,#item-ecd9550b0,,Entry: Foot|Topic: Foot|Xref: 1444 [Foot]|Index: foot|#item-ecd9550b0,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/730,3073,3001,370/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563205097568,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/730,3073,600,180/250,/0/default.jpg",Foot,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>,,
alpha_0341,Volume 2,12,,Forbearance,Forbearance,F,,,<a href='/digital-beehive/alpha3/alpha_0550/'>Longsufferance</a>|<a href='/digital-beehive/toc/toc2_328/'>1669 [Forebearance]</a>,,<a href='/digital-beehive/index2/index_1527/'>forbearance</a>,#item-798ba6561,,Entry: Forbearance|Topic: Forbearance|Xref: Longsufferance|Xref: 1669 [Forebearance]|Index: forbearance|#item-798ba6561,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/678,3263,3065,585/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563205247018,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/678,3263,600,180/250,/0/default.jpg",Forbearance,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>,,
alpha_0342,Volume 2,12,,Forbidden things,Forbidden things,F,,,<a href='/digital-beehive/alpha1/alpha_0161/'>Com[m]andmt</a>|<a href='/digital-beehive/alpha4/alpha_0748/'>Prohibitions</a>,,<a href='/digital-beehive/index2/index_1531/'>forbidden things</a>,#item-cbb26127e,,Entry: Forbidden things|Topic: Forbidden things|Xref: Com[m]andmt|Xref: Prohibitions|Index: forbidden things|#item-cbb26127e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/779,3707,2941,464/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563206500862,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/779,3707,600,180/250,/0/default.jpg",Forbidden things,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>,,
alpha_0343,Volume 2,12,,Force,Force,F,,,<a href='/digital-beehive/toc/toc2_203/'>1049 [Persecution]</a>,,<a href='/digital-beehive/index2/index_1536/'>force</a>,#item-05b93e1d2,,Entry: Force|Topic: Force|Xref: 1049 [Persecution]|Index: force|#item-05b93e1d2,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/674,4146,3109,526/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1563206742118,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/674,4146,600,180/250,/0/default.jpg",Force,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>,,
alpha_0344,Volume 2,12,,Forgetfulness,Forgetfulness,F,,,<a href='/digital-beehive/alpha3/alpha_0588/'>memory</a>|<a href='/digital-beehive/num3/num_1003/'>697 [Forgetfulness]</a>,,<a href='/digital-beehive/index2/index_1564/'>forgetfulness</a>,#item-f6cafa35f,,Entry: Forgetfulness|Topic: Forgetfulness|Xref: memory|Xref: 697 [Forgetfulness]|Index: forgetfulness|#item-f6cafa35f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/763,4611,2978,469/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508356300662,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0479/763,4611,600,180/250,/0/default.jpg",Forgetfulness,<a href='/digital-beehive/toc/toc2_002/'>Full Page</a>,,
alpha_0345,Volume 2,13,,Fort,Fort,F,,,<a href='/digital-beehive/num2/num_0338/'>298 [Fortress]</a>,,<a href='/digital-beehive/index2/index_1588/'>fort</a>,#item-6e4f34fff,,Entry: Fort|Topic: Fort|Xref: 298 [Fortress]|Index: fort|#item-6e4f34fff,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/381,193,3064,390/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564589931525,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/381,193,600,180/250,/0/default.jpg",Fort,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0346,Volume 2,13,,Fortune,Fortune,F,,,<a href='/digital-beehive/alpha2/alpha_0396/'>Happiness</a>|<a href='/digital-beehive/toc/toc2_225/'>1159 [Fortune]</a>,,<a href='/digital-beehive/index2/index_1496/'>fortune</a>,#item-7b80a010f,,Entry: Fortune|Topic: Fortune|Xref: Happiness|Xref: 1159 [Fortune]|Index: fortune|#item-7b80a010f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/369,479,3077,410/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590079830,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/369,479,600,180/250,/0/default.jpg",Fortune,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0347,Volume 2,13,,Foundation,Foundation,F,,,<a href='/digital-beehive/toc/toc2_196/'>1011 [Ground & Foundation]</a>,,<a href='/digital-beehive/index2/index_1505/'>foundation</a>,#item-27f0de06e,,Entry: Foundation|Topic: Foundation|Xref: 1011 [Ground & Foundation]|Index: foundation|#item-27f0de06e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/386,832,3073,441/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590136588,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/386,832,600,180/250,/0/default.jpg",Foundation,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0348,Volume 2,13,,Fox,Fox,F,,,,,<a href='/digital-beehive/index2/index_1515/'>fox</a>,#item-9a38b61b5,,Entry: Fox|Topic: Fox|Index: fox|#item-9a38b61b5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/355,1201,3089,309/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://beehive-anno.library.upenn.edu/annotation/1686076657019,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/355,1201,600,180/250,/0/default.jpg",Fox,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0349,Volume 2,13,,Fraud,Fraud,F,,,<a href='/digital-beehive/alpha1/alpha_0194/'>Craftiness</a>|<a href='/digital-beehive/alpha4/alpha_0923/'>Stratagem</a>|<a href='/digital-beehive/alpha4/alpha_0848/'>Seducing</a>|<a href='/digital-beehive/num2/num_0467/'>384 [Fraud]</a>,,<a href='/digital-beehive/index2/index_1525/'>fraud</a>,#item-ddc5b9956,,Entry: Fraud|Topic: Fraud|Xref: Craftiness|Xref: Stratagem|Xref: Seducing|Xref: 384 [Fraud]|Index: fraud|#item-ddc5b9956,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/362,1452,3059,522/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508356786576,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/362,1452,600,180/250,/0/default.jpg",Fraud,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0350,Volume 2,13,,Free will,Free will,F,,,<a href='/digital-beehive/alpha4/alpha_0801/'>Resistance</a>|<a href='/digital-beehive/toc/toc2_204/'>1052 [Free will]</a>,,<a href='/digital-beehive/index2/index_1537/'>free will</a>,#item-6498701ba,,Entry: Free will|Topic: Free will|Xref: Resistance|Xref: 1052 [Free will]|Index: free will|#item-6498701ba,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/328,1963,3092,302/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590318481,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/328,1963,600,180/250,/0/default.jpg",Free will,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0351,Volume 2,13,,French,French,F,,,<a href='/digital-beehive/toc/toc2_251/'>1288 [French]</a>,,<a href='/digital-beehive/index2/index_1544/'>french</a>,#item-a2c7ebd98,,Entry: French|Topic: French|Xref: 1288 [French]|Index: french|#item-a2c7ebd98,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/386,2178,3000,310/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590370882,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/386,2178,600,180/250,/0/default.jpg",French,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0352,Volume 2,13,,Friendship,Friendship,F,,,familiarity|<a href='/digital-beehive/num1/num_0001/'>1 [Familiarity]</a>|16 [Poverty parts good friendship]|<a href='/digital-beehive/num2/num_0532/'>429 [Friendship]</a>,,<a href='/digital-beehive/index2/index_1560/'>friendship</a>,#item-5f9c379a0,,Entry: Friendship|Topic: Friendship|Xref: familiarity|Xref: 1 [Familiarity]|Xref: 16 [Poverty parts good friendship]|Xref: 429 [Friendship]|Index: friendship|#item-5f9c379a0,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/395,2395,3030,704/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590436323,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/395,2395,600,180/250,/0/default.jpg",Friendship,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0353,Volume 2,13,,Frog,Frog,F,,,<a href='/digital-beehive/toc/toc2_389/'>2228 [Frog & Toad]</a>,,<a href='/digital-beehive/index2/index_1572/'>frog</a>,#item-cb5b79838,,Entry: Frog|Topic: Frog|Xref: 2228 [Frog & Toad]|Index: frog|#item-cb5b79838,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/433,3043,2984,297/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590475205,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/433,3043,600,180/250,/0/default.jpg",Frog,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0354,Volume 2,13,,Fruit,Fruit,F,,,<a href='/digital-beehive/toc/toc2_392/'>2242 [Fruits]</a>,,<a href='/digital-beehive/index2/index_1489/'>fruit</a>,#item-665e1b38d,,Entry: Fruit|Topic: Fruit|Xref: 2242 [Fruits]|Index: fruit|#item-665e1b38d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/419,3262,2967,349/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590567864,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/419,3262,600,180/250,/0/default.jpg",Fruit,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0355,Volume 2,13,,Fruitfulness,Fruitfulness,F,,,,,<a href='/digital-beehive/index2/index_1493/'>fruitful</a>,#item-5135f6a4b,,Entry: Fruitfulness|Topic: Fruitfulness|Index: fruitful|#item-5135f6a4b,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/414,3547,3006,583/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564590638499,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/414,3547,600,180/250,/0/default.jpg",Fruitfulness,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0356,Volume 2,13,,Funeral,Funeral,F,,,<a href='/digital-beehive/alpha1/alpha_0112/'>Burial</a>|<a href='/digital-beehive/toc/toc2_208/'>1071 [Funeral Comendation]</a>,,<a href='/digital-beehive/index2/index_1509/'>funeral Com[m]endations</a>,#item-3a9898913,,Entry: Funeral|Topic: Funeral|Xref: Burial|Xref: 1071 [Funeral Comendation]|Index: funeral Com[m]endations|#item-3a9898913,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/409,4068,3019,385/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564600615743,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/409,4068,600,180/250,/0/default.jpg",Funeral,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0357,Volume 2,13,,Future,Future,F,,,<a href='/digital-beehive/toc/toc2_278/'>1421 [Future]</a>,,<a href='/digital-beehive/index2/index_1529/'>future</a>,#item-bc91c9cd4,,Entry: Future|Topic: Future|Xref: 1421 [Future]|Index: future|#item-bc91c9cd4,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/401,4380,3009,655/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564600653441,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0480/401,4380,600,180/250,/0/default.jpg",Future,<a href='/digital-beehive/toc/toc2_003/'>Full Page</a>,,
alpha_0358,Volume 2,14,,Garden,Garden,G,,,1890 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1561/'>garden</a>,#item-a287d6012,,Entry: Garden|Topic: Garden|Xref: 1890 [PAGE_MISSING]|Index: garden|#item-a287d6012,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/774,218,2999,501/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601205800,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/774,218,600,180/250,/0/default.jpg",Garden,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0359,Volume 2,14,,Garden Garlick,Garden Garlick,G,,,<a href='/digital-beehive/num3/num_0970/'>685 [Garlick]</a>,,<a href='/digital-beehive/index2/index_1565/'>garlick</a>,#item-d6a50bdc4,,Entry: Garden Garlick|Topic: Garden Garlick|Xref: 685 [Garlick]|Index: garlick|#item-d6a50bdc4,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/740,592,3062,192/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601235814,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/740,592,600,180/250,/0/default.jpg",Garden Garlick,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0360,Volume 2,14,,Gentleness,Gentleness,G,,,<a href='/digital-beehive/alpha1/alpha_0152/'>Civility</a>|<a href='/digital-beehive/alpha2/alpha_0439/'>Humanity</a>|<a href='/digital-beehive/num1/num_0021/'>21 [Moderate]</a>|<a href='/digital-beehive/toc/toc2_235/'>1206 [Gentleness]</a>,,<a href='/digital-beehive/index2/index_1629/'>gentleness</a>,#item-271a74ff6,,Entry: Gentleness|Topic: Gentleness|Xref: Civility|Xref: Humanity|Xref: 21 [Moderate]|Xref: 1206 [Gentleness]|Index: gentleness|#item-271a74ff6,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/784,655,2985,582/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601289798,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/784,655,600,180/250,/0/default.jpg",Gentleness,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0361,Volume 2,14,,Germany,Germany,G,,,<a href='/digital-beehive/toc/toc2_269/'>1378 [Germany]</a>,,<a href='/digital-beehive/index2/index_1639/'>Germany</a>,#item-ae0fcaf74,,Entry: Germany|Topic: Germany|Xref: 1378 [Germany]|Index: Germany|#item-ae0fcaf74,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/764,1111,3027,494/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601438628,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/764,1111,600,180/250,/0/default.jpg",Germany,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0362,Volume 2,14,,Holy Ghost,Holy Ghost,G,,,<a href='/digital-beehive/alpha4/alpha_0907/'>Spirit</a>|<a href='/digital-beehive/toc/toc2_196/'>1012 [h. Ghost]</a>|<a href='/digital-beehive/alpha5/alpha_1006/'>Unction</a>|<a href='/digital-beehive/num4/num_1158/'>893 [Inspiration]</a>,,<a href='/digital-beehive/index2/index_1653/'>h. Ghost</a>,#item-0bb65b876,,Entry: Holy Ghost|Topic: Holy Ghost|Xref: Spirit|Xref: 1012 [h. Ghost]|Xref: Unction|Xref: 893 [Inspiration]|Index: h. Ghost|#item-0bb65b876,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/755,1438,2997,635/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601564225,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/755,1438,600,180/250,/0/default.jpg",Holy Ghost,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,"The point of reference for ""Inspiration"" is unclear. Pastorius perhaps intends numerical entry 893 [Inspiration].",
alpha_0363,Volume 2,14,,Gift,Gift,G,,,<a href='/digital-beehive/alpha1/alpha_0022/'>alms</a>|<a href='/digital-beehive/alpha3/alpha_0535/'>liberality</a>|<a href='/digital-beehive/alpha1/alpha_0101/'>Bribe</a>|<a href='/digital-beehive/num3/num_0636/'>506 [Gift]</a>,,<a href='/digital-beehive/index2/index_1664/'>gift</a>,#item-a7f1c4050,,Entry: Gift|Topic: Gift|Xref: alms|Xref: liberality|Xref: Bribe|Xref: 506 [Gift]|Index: gift|#item-a7f1c4050,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/742,1943,3037,517/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601739841,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/742,1943,600,180/250,/0/default.jpg",Gift,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0364,Volume 2,14,,Glass,Glass,G,,,<a href='/digital-beehive/alpha3/alpha_0551/'>Lookingglass</a>|<a href='/digital-beehive/num3/num_0816/'>612 [Bottle]</a>|<a href='/digital-beehive/toc/toc2_325/'>1655 [Glass]</a>,,<a href='/digital-beehive/index2/index_1687/'>glass</a>,#item-88581f002,,Entry: Glass|Topic: Glass|Xref: Lookingglass|Xref: 612 [Bottle]|Xref: 1655 [Glass]|Index: glass|#item-88581f002,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/743,2374,2996,458/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601934065,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/743,2374,600,180/250,/0/default.jpg",Glass,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0365,Volume 2,14,,Glory,Glory,G,,,<a href='/digital-beehive/alpha2/alpha_0431/'>Honour</a>|<a href='/digital-beehive/alpha4/alpha_0794/'>renown</a>,,<a href='/digital-beehive/index2/index_1615/'>glory</a>,#item-827f53539,,Entry: Glory|Topic: Glory|Xref: Honour|Xref: renown|Index: glory|#item-827f53539,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/785,2714,2953,343/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564601996262,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/785,2714,600,180/250,/0/default.jpg",Glory,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0366,Volume 2,14,,Gloss,Gloss,G,,,<a href='/digital-beehive/alpha3/alpha_0488/'>Interpretation</a>|<a href='/digital-beehive/alpha5/alpha_0978/'>Tradition</a>|<a href='/digital-beehive/num1/num_0125/'>121 [Gloss]</a>,,<a href='/digital-beehive/index2/index_1617/'>gloss</a>,#item-896e75d1c,,Entry: Gloss|Topic: Gloss|Xref: Interpretation|Xref: Tradition|Xref: 121 [Gloss]|Index: gloss|#item-896e75d1c,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/759,3073,2989,526/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508614671435,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/759,3073,600,180/250,/0/default.jpg",Gloss,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0367,Volume 2,14,,Goat,Goat,G,,,,,<a href='/digital-beehive/index2/index_1597/'>goat</a>,#item-637b1b7c1,,Entry: Goat|Topic: Goat|Index: goat|#item-637b1b7c1,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/762,3506,2895,291/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602132876,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/762,3506,600,180/250,/0/default.jpg",Goat,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0368,Volume 2,14,,God,God,G,,,<a href='/digital-beehive/num2/num_0354/'>310 [Gods]</a>,,<a href='/digital-beehive/index2/index_1645/'>God</a>,#item-be3678adc,,Entry: God|Topic: God|XRef: 310 [Gods]|Index: God|#item-be3678adc,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/776,3713,2941,760/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602182843,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/776,3713,600,180/250,/0/default.jpg",God,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0369,Volume 2,14,,God's blessings,God's blessings,G,,,,,<a href='/digital-beehive/index2/index_1657/'>God's blessings</a>,#item-501e61424,,Entry: God's blessings|Topic: God's blessings|Index: God's blessings|#item-501e61424,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/754,4330,2940,676/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602228283,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0481/754,4330,600,180/250,/0/default.jpg",God's blessings,<a href='/digital-beehive/toc/toc2_004/'>Full Page</a>,,
alpha_0370,Volume 2,15,,God's goodness,God's goodness,G,,,<a href='/digital-beehive/num2/num_0391/'>337 [Gods goodness]</a>,,<a href='/digital-beehive/index2/index_1661/'>God's goodness</a>,#item-d86779c1a,,Entry: God's goodness|Topic: God's goodness|Xref: 337 [Gods goodness]|Index: God's goodness|#item-d86779c1a,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/332,223,3076,355/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602371807,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/332,223,600,180/250,/0/default.jpg",God's goodness,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0371,Volume 2,15,,God's help,God's help,G,,,<a href='/digital-beehive/alpha4/alpha_0757/'>Protection</a>|<a href='/digital-beehive/num1/num_0167/'>160 [Gods help]</a>,,<a href='/digital-beehive/index2/index_1662/'>God's help</a>,#item-7b1107290,,Entry: God's help|Topic: God's help|Xref: Protection|Xref: 160 [Gods help]|Index: God's help|#item-7b1107290,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/331,516,3076,332/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602409491,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/331,516,600,180/250,/0/default.jpg",God's help,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0372,Volume 2,15,,God's Providence,God's Providence,G,,,<a href='/digital-beehive/alpha5/alpha_1040/'>Will of God</a>|<a href='/digital-beehive/num1/num_0242/'>227 [Gods Providence]</a>,,<a href='/digital-beehive/index2/index_1671/'>God's providence</a>,#item-5ef72dfee,,Entry: God's Providence|Topic: God's Providence|Xref: Will of God|Xref: 227 [Gods Providence]|Index: God's providence|#item-5ef72dfee,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/337,799,3088,391/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508854247510,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/337,799,600,180/250,/0/default.jpg",God's Providence,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
